# observed_wavelength flux_16 flux_50 flux_84
# AA 1e-19erg/s/cm2/AA 1e-19erg/s/cm2/AA 1e-19erg/s/cm2/AA
# Morishita & Stiavelli (2022), 2207.11671
11195.2 0.22429 0.23703 0.24912
11238.5 0.22542 0.23805 0.25018
11281.8 0.24769 0.26156 0.27521
11325.2 0.24889 0.26271 0.27631
11368.5 0.23164 0.24411 0.25810
11411.8 0.23266 0.24510 0.25910
11455.1 0.24154 0.25455 0.26882
11498.5 0.24258 0.25557 0.26984
11541.8 0.22578 0.23820 0.25204
11585.1 0.22676 0.23916 0.25296
11628.4 0.23945 0.25195 0.26464
11671.8 0.24043 0.25294 0.26558
11715.1 0.22842 0.24073 0.25399
11758.4 0.22937 0.24162 0.25487
11801.7 0.15165 0.16897 0.17965
11845.1 0.15226 0.16957 0.18025
11888.4 0.27850 0.29357 0.30755
11931.7 0.27949 0.29468 0.30855
11975.0 0.23064 0.24243 0.25515
12018.4 0.23147 0.24331 0.25597
12061.7 0.18159 0.19081 0.19969
12105.0 0.18223 0.19142 0.20030
12148.3 0.17911 0.18807 0.19709
12191.7 0.17971 0.18869 0.19769
12235.0 0.22312 0.23426 0.24513
12278.3 0.22387 0.23503 0.24586
12321.6 0.21467 0.22557 0.23746
12365.0 0.21542 0.22628 0.23815
12408.3 0.21385 0.22408 0.23455
12451.6 0.21453 0.22479 0.23521
12494.9 0.21950 0.23009 0.24032
12538.3 0.21521 0.22563 0.23585
12581.6 0.21437 0.22449 0.23446
12624.9 0.21505 0.22518 0.23509
12668.2 0.21289 0.22300 0.23274
12711.6 0.21354 0.22365 0.23336
12754.9 0.20857 0.21835 0.22783
12798.2 0.20920 0.21896 0.22842
12841.5 0.20247 0.21154 0.22147
12884.9 0.20308 0.21213 0.22203
12928.2 0.20062 0.20989 0.21900
12971.5 0.20124 0.21047 0.21956
13014.8 0.19960 0.20901 0.21896
13058.2 0.20015 0.20958 0.21950
13101.5 0.20695 0.21681 0.22598
13144.8 0.17712 0.18542 0.19458
13188.1 0.20810 0.21782 0.22704
13231.5 0.20866 0.21839 0.22762
13274.8 0.14535 0.17199 0.18233
13318.1 0.14575 0.17244 0.18275
13361.4 0.19396 0.20849 0.21978
13404.8 0.19449 0.20901 0.22029
13448.1 0.20798 0.21756 0.22723
13491.4 0.20850 0.21811 0.22776
13534.7 0.18575 0.19418 0.20251
13578.1 0.18625 0.19464 0.20295
13621.4 0.18270 0.19143 0.20039
13664.7 0.18318 0.19188 0.20083
13708.0 0.17938 0.18749 0.19614
13751.4 0.17982 0.18792 0.19656
13794.7 0.18398 0.19216 0.19973
13838.0 0.18441 0.19261 0.20015
13881.3 0.17377 0.18119 0.18851
13924.7 0.17421 0.18159 0.18893
13968.0 0.15942 0.16649 0.17374
14011.3 0.15981 0.16686 0.17410
